x,y,kmeans_cluster,spatial_subgroup,spatial_fold,split_set
6094.526578,82880.57557,1,4,0,train
6068.440198,82852.74948,1,3,4,train
6124.551545,82871.23086,1,4,0,train
6164.380855,82861.34137,1,4,0,train
6700.739146,82865.87631,2,4,1,train
6151.111958,82756.48726,1,3,4,train
6348.948721,82833.67623,0,4,4,train
6664.981352,82837.99948,2,3,0,train
6681.197411,82835.61572,2,2,4,train
6629.64456,82773.76356,2,1,3,train
6069.356911,82742.32486,1,2,3,train
6071.318794,82728.13551,1,2,3,train
6040.251331,82678.18757,1,1,2,train
6086.079774,82696.66729,1,1,2,train
6114.174454,82744.15643,1,3,4,train
6201.836764,82740.45264,3,4,2,train
6191.499321,82708.37362,3,4,2,train
6219.085838,82702.21224,3,3,1,train
6259.469879,82717.65237,3,4,2,train
6233.379262,82681.86151,3,3,1,train
6286.584454,82683.74366,3,3,1,train
6351.098446,82703.54351,0,4,4,train
6389.525001,82699.27299,0,3,3,train
6423.299234,82693.15883,0,3,3,train
6447.152251,82702.44466,0,4,4,train
6490.005877,82702.52361,0,4,4,train
6080.141965,82644.23543,1,0,1,train
6069.281001,82609.07887,1,0,1,train
6109.959281,82656.86994,1,1,2,train
6110.693014,82639.90573,1,0,1,train
6169.828266500001,82627.56190500001,3,2,0,train
6198.403811,82666.42844,3,2,0,train
6196.44303,82615.8455,3,1,4,train
6227.984262,82618.93999,3,2,0,train
6234.39657,82606.60572,3,1,4,train
6272.470272,82658.66563,3,2,0,train
6309.285563,82638.11533,0,2,2,train
6339.801309,82672.68883,0,2,2,train
6337.358202,82652.94677,0,2,2,train
6333.962828,82600.5103,0,0,0,train
6353.237996,82645.95142,0,2,2,train
6360.081877,82603.62345,0,1,1,train
6378.729909,82634.47521,0,1,1,train
6400.689143,82628.07383,0,1,1,train
6400.998759,82597.50835,0,0,0,train
6436.215206,82677.42663,0,3,3,train
6426.610214,82609.26695,0,1,1,train
6094.893921,82565.26939,3,0,3,train
6181.661623,82580.06488,3,1,4,train
6263.986788,82577.62891,3,0,3,train
6263.015481,82553.57055,3,0,3,train
6283.237556,82543.09755,3,0,3,train
6327.569942,82585.69925,0,0,0,train
6341.860286,82590.03206,0,0,0,train
6549.43857,82562.01484,4,0,4,train
6562.796316,82542.30853,4,1,0,train
6737.850846,82532.95361,4,2,1,train
6631.580978,82710.59951,2,0,2,train
6170.322313,82601.65372,3,1,4,train
6408.200422,82694.34689,0,3,3,train
6027.536177,82721.70645,1,2,3,train
